1.275 	2.15223e-18 	-2.76991e-20 	-0.0629964 	0.212661 	-4.32383e-22
1.825 	2.15223e-18 	-1.39322e-20 	-0.388284 	0.538581 	4.88996e-21
2.375 	2.15223e-18 	1.38775e-18 	0.400557 	0.256208 	-1.43793e-21
2.925 	2.15223e-18 	2.78958e-18 	0.793862 	-0.308731 	2.21099e-22
3.475 	2.15223e-18 	4.53849e-18 	0.877985 	-0.569871 	-5.5127e-22
4.025 	2.15223e-18 	6.28755e-18 	0.746892 	-0.570078 	6.87531e-23
4.575 	2.15223e-18 	6.30203e-18 	0.899906 	-0.304076 	1.12208e-21
5.125 	2.15223e-18 	6.31666e-18 	1.01543 	0.184224 	-1.88137e-21
5.675 	2.15223e-18 	6.33144e-18 	1.01598 	0.465034 	-3.18151e-22
6.225 	2.15223e-18 	4.61166e-18 	0.937945 	0.499983 	-4.70206e-22
