1.22 	3.45254e-18 	-6.98323e-18 	-0.123363 	0.00308146 	-4.17422e-22
1.66 	3.45254e-18 	-6.96118e-18 	-0.241015 	0.00965325 	-2.08119e-23
2.1 	3.45254e-18 	-6.93894e-18 	-0.262724 	0.03148 	-1.18088e-21
2.54 	3.45254e-18 	-8.30431e-18 	-0.333389 	0.0459294 	7.82578e-24
2.98 	3.45254e-18 	-8.28171e-18 	-0.367709 	0.02694 	1.30226e-21
3.42 	3.45254e-18 	-6.87115e-18 	-0.414777 	-0.027722 	1.43765e-21
3.86 	3.45254e-18 	-6.84819e-18 	-0.355411 	-0.0738309 	2.87389e-22
4.3 	3.45254e-18 	-6.82504e-18 	-0.316259 	-0.080076 	1.02506e-21
4.74 	3.45254e-18 	-5.41391e-18 	-0.210182 	-0.0565863 	-5.22348e-22
5.18 	3.45254e-18 	-2.61482e-18 	-0.136431 	-0.017005 	-2.17363e-22
5.62 	3.45254e-18 	-1.2033e-18 	-0.0362707 	0.0183593 	7.53681e-23
6.06 	3.45254e-18 	-1.17937e-18 	0.0369961 	0.0424396 	1.29835e-22
6.5 	3.45254e-18 	-1.15524e-18 	0.116565 	0.0546826 	-2.35265e-23
