1.22 	3.45254e-18 	-6.98323e-18 	-0.465681
1.66 	3.45254e-18 	-6.96118e-18 	-0.40554
2.1 	3.45254e-18 	-6.93894e-18 	-0.271227
2.54 	3.45254e-18 	-8.30431e-18 	-0.3305
2.98 	3.45254e-18 	-8.28171e-18 	-0.262478
3.42 	3.45254e-18 	-6.87115e-18 	-0.140573
3.86 	3.45254e-18 	-6.84819e-18 	-0.0980659
4.3 	3.45254e-18 	-6.82504e-18 	-0.161849
4.74 	3.45254e-18 	-5.41391e-18 	-0.170243
5.18 	3.45254e-18 	-2.61482e-18 	-0.122845
5.62 	3.45254e-18 	-1.2033e-18 	-0.088217
6.06 	3.45254e-18 	-1.17937e-18 	-0.0962733
6.5 	3.45254e-18 	-1.15524e-18 	-0.127161
