1.275 	2.15223e-18 	-2.76991e-20 	-0.12809 	-0.0170513 	-2.5932e-22
1.825 	2.15223e-18 	-1.39322e-20 	-0.263392 	0.0151421 	3.4981e-21
2.375 	2.15223e-18 	1.38775e-18 	-0.264413 	0.151227 	-1.52434e-21
2.925 	2.15223e-18 	2.78958e-18 	-0.380484 	0.214176 	1.56673e-22
3.475 	2.15223e-18 	4.53849e-18 	-0.223789 	0.0503483 	-1.5673e-21
4.025 	2.15223e-18 	6.28755e-18 	-0.12498 	-0.191323 	-1.71615e-22
4.575 	2.15223e-18 	6.30203e-18 	-0.077785 	-0.316007 	1.74705e-21
5.125 	2.15223e-18 	6.31666e-18 	-0.100848 	-0.283982 	-1.23328e-21
5.675 	2.15223e-18 	6.33144e-18 	0.125122 	-0.110754 	-1.95879e-22
6.225 	2.15223e-18 	4.61166e-18 	0.261883 	0.0834357 	-3.9159e-22
